producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-mBgModel,0.5,mBgModel,1.0,tmpfs,1,tmpfs,1,3.153292173832882e-08,0.0,3.153292173832882e-08
stage_in-mBgModel,0.5,mBgModel,1.0,tmpfs,2,tmpfs,1,3.153292173832882e-08,0.0,3.153292173832882e-08
stage_in-mBgModel,0.5,mBgModel,1.0,tmpfs,3,tmpfs,1,3.153292173832882e-08,0.0,3.153292173832882e-08
stage_in-mBgModel,0.5,mBgModel,1.0,tmpfs,4,tmpfs,1,3.153292173832882e-08,0.0,3.153292173832882e-08
stage_in-mBgModel,0.5,mBgModel,1.0,tmpfs,6,tmpfs,1,3.153292173832882e-08,0.0,3.153292173832882e-08
stage_in-mBgModel,0.5,mBgModel,1.0,tmpfs,11,tmpfs,1,3.153292173832882e-08,0.0,3.153292173832882e-08
stage_in-mBgModel,0.5,mBgModel,1.0,tmpfs,15,tmpfs,1,3.153292173832882e-08,0.0,3.153292173832882e-08
stage_in-mBgModel,0.5,mBgModel,1.0,tmpfs,16,tmpfs,1,3.153292173832882e-08,0.0,3.153292173832882e-08
stage_in-mBgModel,0.5,mBgModel,1.0,beegfs,1,beegfs,1,7.58204444672475e-08,0.0,7.58204444672475e-08
stage_in-mBgModel,0.5,mBgModel,1.0,beegfs,2,beegfs,1,7.58204444672475e-08,0.0,7.58204444672475e-08
stage_in-mBgModel,0.5,mBgModel,1.0,beegfs,3,beegfs,1,7.58204444672475e-08,0.0,7.58204444672475e-08
stage_in-mBgModel,0.5,mBgModel,1.0,beegfs,4,beegfs,1,7.58204444672475e-08,0.0,7.58204444672475e-08
stage_in-mBgModel,0.5,mBgModel,1.0,beegfs,6,beegfs,1,7.58204444672475e-08,0.0,7.58204444672475e-08
stage_in-mBgModel,0.5,mBgModel,1.0,beegfs,11,beegfs,1,7.58204444672475e-08,0.0,7.58204444672475e-08
stage_in-mBgModel,0.5,mBgModel,1.0,beegfs,15,beegfs,1,7.58204444672475e-08,0.0,7.58204444672475e-08
stage_in-mBgModel,0.5,mBgModel,1.0,beegfs,16,beegfs,1,7.58204444672475e-08,0.0,7.58204444672475e-08
stage_in-mBgModel,0.5,mBgModel,1.0,ssd,1,ssd,1,1.146308292286676e-07,0.0,1.146308292286676e-07
