operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB
cp,0,4096.0,78643.19998168945,32,32,,"[8, 16]",8,4,,beegfs-tmpfs,32,stage_in-analysis,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,1258291.1997070312
cp,0,4096.0,78643.19998168945,32,32,,"[8, 16]",16,2,,beegfs-tmpfs,32,stage_in-analysis,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,2516582.3994140625
cp,0,4096.0,78643.19998168945,32,32,,"[8, 16]",8,4,,beegfs-ssd,32,stage_in-analysis,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,1258291.1997070312
cp,0,4096.0,78643.19998168945,32,32,,"[8, 16]",16,2,,beegfs-ssd,32,stage_in-analysis,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,2516582.3994140625
none,0,4096.0,78643.19998168945,32,32,0,"[8, 16]",8,4,1.0,beegfs,32,stage_in-analysis,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,0
none,0,4096.0,78643.19998168945,32,32,0,"[8, 16]",16,2,1.0,beegfs,32,stage_in-analysis,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,0
cp,0,4096.0,78643.19998168945,32,32,,"[8, 16]",8,4,,ssd-beegfs,32,stage_in-analysis,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,1258291.1997070312
cp,0,4096.0,78643.19998168945,32,32,,"[8, 16]",16,2,,ssd-beegfs,32,stage_in-analysis,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,2516582.3994140625
cp,0,4096.0,78643.19998168945,32,32,,"[8, 16]",8,4,,tmpfs-beegfs,32,stage_in-analysis,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,1258291.1997070312
cp,0,4096.0,78643.19998168945,32,32,,"[8, 16]",16,2,,tmpfs-beegfs,32,stage_in-analysis,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,2516582.3994140625
cp,0,4096.0,78643.19998168945,32,32,,"[8, 16]",8,4,,ssd-ssd,32,stage_in-analysis,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,1258291.1997070312
cp,0,4096.0,78643.19998168945,32,32,,"[8, 16]",16,2,,ssd-ssd,32,stage_in-analysis,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,2516582.3994140625
cp,0,4096.0,78643.19998168945,32,32,,"[8, 16]",8,4,,tmpfs-tmpfs,32,stage_in-analysis,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,1258291.1997070312
cp,0,4096.0,78643.19998168945,32,32,,"[8, 16]",16,2,,tmpfs-tmpfs,32,stage_in-analysis,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,2516582.3994140625
none,0,4096.0,78643.19998168945,32,32,0,"[8, 16]",8,4,1.0,beegfs,32,stage_in-sim,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,0
none,0,4096.0,78643.19998168945,32,32,0,"[8, 16]",16,2,1.0,beegfs,32,stage_in-sim,,"sim_out_0.bin,sim_out_1.bin,sim_out_2.bin,sim_out_3.bin,sim_out_4.bin,sim_out_5.bin,sim_out_6.bin,sim_out_7.bin,sim_out_8.bin,sim_out_9.bin,sim_out_10.bin,sim_out_11.bin,sim_out_12.bin,sim_out_13.bin,sim_out_14.bin,sim_out_15.bin,sim_out_16.bin,sim_out_17.bin,sim_out_18.bin,sim_out_19.bin,sim_out_20.bin,sim_out_21.bin,sim_out_22.bin,sim_out_23.bin,sim_out_24.bin,sim_out_25.bin,sim_out_26.bin,sim_out_27.bin,sim_out_28.bin,sim_out_29.bin,sim_out_30.bin,sim_out_31.bin",0.5,,0
