operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_0-node0,sim_out_0.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_1-node0,sim_out_1.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_2-node1,sim_out_2.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_3-node1,sim_out_3.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_4-node2,sim_out_4.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_5-node2,sim_out_5.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_6-node3,sim_out_6.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_7-node3,sim_out_7.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_8-node4,sim_out_8.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_9-node4,sim_out_9.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_10-node5,sim_out_10.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_11-node5,sim_out_11.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_12-node6,sim_out_12.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_13-node6,sim_out_13.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_14-node7,sim_out_14.bin,1,
write,0,1048576.0,19660.79999923706,16,16,9.83039999961853,"[8, 16]",8,2,2000.0,pfs,19660,sim,sim_15-node7,sim_out_15.bin,1,
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_0-node0,sim_out_0.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_0-node0,analysis_out_0.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_1-node0,sim_out_1.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_1-node0,analysis_out_1.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_2-node1,sim_out_2.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_2-node1,analysis_out_2.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_3-node1,sim_out_3.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_3-node1,analysis_out_3.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_4-node2,sim_out_4.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_4-node2,analysis_out_4.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_5-node2,sim_out_5.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_5-node2,analysis_out_5.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_6-node3,sim_out_6.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_6-node3,analysis_out_6.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_7-node3,sim_out_7.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_7-node3,analysis_out_7.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_8-node4,sim_out_8.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_8-node4,analysis_out_8.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_9-node4,sim_out_9.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_9-node4,analysis_out_9.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_10-node5,sim_out_10.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_10-node5,analysis_out_10.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_11-node5,sim_out_11.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_11-node5,analysis_out_11.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_12-node6,sim_out_12.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_12-node6,analysis_out_12.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_13-node6,sim_out_13.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_13-node6,analysis_out_13.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_14-node7,sim_out_14.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_14-node7,analysis_out_14.bin,2,sim
read,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_15-node7,sim_out_15.bin,2,sim
write,0,1048576.0,2457.5999994277954,16,16,1.2287999997138976,"[8, 16]",8,2,2000.0,pfs,2457,analysis,analysis_15-node7,analysis_out_15.bin,2,sim
read,0,1048576.0,2457.5999994277954,1,1,1.2287999997138976,"[8, 16]",8,1,2000.0,pfs,2457,aggregate,aggregate_0-node0,analysis_out_0.bin,3,analysis
read,0,1048576.0,2457.5999994277954,1,1,1.2287999997138976,"[8, 16]",8,1,2000.0,pfs,2457,aggregate,aggregate_0-node0,analysis_out_1.bin,3,analysis
read,0,1048576.0,2457.5999994277954,1,1,1.2287999997138976,"[8, 16]",8,1,2000.0,pfs,2457,aggregate,aggregate_0-node0,analysis_out_2.bin,3,analysis
read,0,1048576.0,2457.5999994277954,1,1,1.2287999997138976,"[8, 16]",8,1,2000.0,pfs,2457,aggregate,aggregate_0-node0,analysis_out_3.bin,3,analysis
read,0,1048576.0,2457.5999994277954,1,1,1.2287999997138976,"[8, 16]",8,1,2000.0,pfs,2457,aggregate,aggregate_0-node0,analysis_out_4.bin,3,analysis
read,0,1048576.0,2457.5999994277954,1,1,1.2287999997138976,"[8, 16]",8,1,2000.0,pfs,2457,aggregate,aggregate_0-node0,analysis_out_5.bin,3,analysis
