producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-individuals,0.5,individuals,1,ssd,1,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,2,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,5,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,9,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,10,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,11,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,23,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,25,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,27,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,28,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,29,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,30,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,31,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,32,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,34,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,60,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,ssd,150,ssd,30,14.528247796583585,0,14.528247796583585
stage_in-individuals,0.5,individuals,1,tmpfs,1,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,2,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,5,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,9,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,10,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,11,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,23,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,25,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,27,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,28,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,29,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,30,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,31,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,32,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,34,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,60,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,tmpfs,150,tmpfs,30,15.834521761208178,0,15.834521761208178
stage_in-individuals,0.5,individuals,1,ssd,1,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,2,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,5,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,9,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,10,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,11,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,23,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,25,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,27,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,28,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,29,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,30,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,31,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,32,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,34,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,60,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,150,ssd,60,16.903608521715448,0,16.903608521715448
stage_in-individuals,0.5,individuals,1,tmpfs,1,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,2,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,5,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,9,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,10,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,11,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,23,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,25,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,27,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,28,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,29,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,30,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,31,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,32,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,34,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,60,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,150,tmpfs,60,18.36111297603876,0,18.36111297603876
stage_in-individuals,0.5,individuals,1,tmpfs,1,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,2,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,5,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,9,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,10,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,11,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,23,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,25,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,27,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,28,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,29,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,30,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,31,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,32,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,34,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,60,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,tmpfs,150,tmpfs,150,41.213463307627066,0,41.213463307627066
stage_in-individuals,0.5,individuals,1,beegfs-ssd,16,ssd,30,70.31142305771536,55.783175261131774,14.528247796583585
stage_in-individuals,0.5,individuals,1,beegfs-ssd,15,ssd,30,71.00226529833907,56.47401750175549,14.528247796583585
stage_in-individuals,0.5,individuals,1,beegfs-ssd,14,ssd,30,71.71043347,57.18218567414732,14.528247796583585
stage_in-individuals,0.5,individuals,1,beegfs-ssd,16,ssd,60,72.68678378284721,55.783175261131774,16.903608521715448
stage_in-individuals,0.5,individuals,1,beegfs-ssd,15,ssd,60,73.37762602347094,56.47401750175549,16.903608521715448
stage_in-individuals,0.5,individuals,1,beegfs-ssd,14,ssd,60,74.08579419586277,57.18218567414732,16.903608521715448
stage_in-individuals,0.5,individuals,1,ssd,1,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,2,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,5,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,9,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,10,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,11,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,23,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,25,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,27,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,28,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,29,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,30,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,31,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,32,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,34,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,60,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,ssd,150,ssd,150,101.43620993347376,0,101.43620993347376
stage_in-individuals,0.5,individuals,1,beegfs-ssd,5,ssd,30,106.19874393555205,91.67049613896846,14.528247796583585
stage_in-individuals,0.5,individuals,1,beegfs-ssd,5,ssd,60,108.5741046606839,91.67049613896846,16.903608521715448
stage_in-individuals,0.5,individuals,1,beegfs,1,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,2,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,5,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,9,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,10,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,11,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,23,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,25,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,27,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,28,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,29,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,30,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,31,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,32,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,34,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,60,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs,150,beegfs,30,131.5569477,0,131.5569477
stage_in-individuals,0.5,individuals,1,beegfs-ssd,6,ssd,30,144.09650482262185,129.56825702603825,14.528247796583585
stage_in-individuals,0.5,individuals,1,beegfs-ssd,7,ssd,30,144.09650482262185,129.56825702603825,14.528247796583585
stage_in-individuals,0.5,individuals,1,beegfs-ssd,6,ssd,60,146.4718655477537,129.56825702603825,16.903608521715448
stage_in-individuals,0.5,individuals,1,beegfs-ssd,7,ssd,60,146.4718655477537,129.56825702603825,16.903608521715448
stage_in-individuals,0.5,individuals,1,beegfs-ssd,16,ssd,150,157.21938519460554,55.783175261131774,101.43620993347376
stage_in-individuals,0.5,individuals,1,beegfs-ssd,15,ssd,150,157.91022743522925,56.47401750175549,101.43620993347376
stage_in-individuals,0.5,individuals,1,beegfs-ssd,14,ssd,150,158.6183956076211,57.18218567414732,101.43620993347376
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,7,tmpfs,30,164.99038853640042,149.15586677519224,15.834521761208178
stage_in-individuals,0.5,individuals,1,beegfs-tmpfs,7,tmpfs,60,167.5169798,149.15586677519224,18.36111297603876
stage_in-individuals,0.5,individuals,1,beegfs,1,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,2,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,5,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,9,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,10,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,11,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,23,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,25,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,27,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,28,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,29,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,30,beegfs,60,170.93783022213117,0,170.93783022213117
stage_in-individuals,0.5,individuals,1,beegfs,31,beegfs,60,170.93783022213117,0,170.93783022213117
