producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-sim,0.5,sim,1.0,tmpfs,1,tmpfs,2,457.8705553849694,0.0,457.8705553849694
stage_in-sim,0.5,sim,1.0,tmpfs,2,tmpfs,2,457.8705553849694,0.0,457.8705553849694
stage_in-sim,0.5,sim,1.0,tmpfs,4,tmpfs,2,457.8705553849694,0.0,457.8705553849694
stage_in-sim,0.5,sim,1.0,tmpfs,8,tmpfs,2,457.8705553849694,0.0,457.8705553849694
stage_in-sim,0.5,sim,1.0,tmpfs,16,tmpfs,2,457.8705553849694,0.0,457.8705553849694
stage_in-sim,0.5,sim,1.0,tmpfs,32,tmpfs,2,457.8705553849694,0.0,457.8705553849694
stage_in-sim,0.5,sim,1.0,tmpfs,33,tmpfs,2,457.8705553849694,0.0,457.8705553849694
stage_in-sim,0.5,sim,1.0,tmpfs,60,tmpfs,2,457.8705553849694,0.0,457.8705553849694
stage_in-sim,0.5,sim,1.0,beegfs,1,beegfs,2,836.5993475509089,0.0,836.5993475509089
stage_in-sim,0.5,sim,1.0,beegfs,2,beegfs,2,836.5993475509089,0.0,836.5993475509089
stage_in-sim,0.5,sim,1.0,beegfs,4,beegfs,2,836.5993475509089,0.0,836.5993475509089
stage_in-sim,0.5,sim,1.0,beegfs,8,beegfs,2,836.5993475509089,0.0,836.5993475509089
stage_in-sim,0.5,sim,1.0,beegfs,16,beegfs,2,836.5993475509089,0.0,836.5993475509089
stage_in-sim,0.5,sim,1.0,beegfs,32,beegfs,2,836.5993475509089,0.0,836.5993475509089
stage_in-sim,0.5,sim,1.0,beegfs,33,beegfs,2,836.5993475509089,0.0,836.5993475509089
stage_in-sim,0.5,sim,1.0,beegfs,60,beegfs,2,836.5993475509089,0.0,836.5993475509089
stage_in-sim,0.5,sim,1.0,ssd,1,ssd,2,4895.300725593878,0.0,4895.300725593878
stage_in-sim,0.5,sim,1.0,ssd,2,ssd,2,4895.300725593878,0.0,4895.300725593878
stage_in-sim,0.5,sim,1.0,ssd,4,ssd,2,4895.300725593878,0.0,4895.300725593878
stage_in-sim,0.5,sim,1.0,ssd,8,ssd,2,4895.300725593878,0.0,4895.300725593878
stage_in-sim,0.5,sim,1.0,ssd,16,ssd,2,4895.300725593878,0.0,4895.300725593878
stage_in-sim,0.5,sim,1.0,ssd,32,ssd,2,4895.300725593878,0.0,4895.300725593878
stage_in-sim,0.5,sim,1.0,ssd,33,ssd,2,4895.300725593878,0.0,4895.300725593878
stage_in-sim,0.5,sim,1.0,ssd,60,ssd,2,4895.300725593878,0.0,4895.300725593878
stage_in-sim,0.5,sim,1.0,tmpfs-beegfs,4,beegfs,2,16134.677139012285,15298.077791461375,836.5993475509089
stage_in-sim,0.5,sim,1.0,beegfs-ssd,4,ssd,2,16549.7056760108,11654.404950416922,4895.300725593878
stage_in-sim,0.5,sim,1.0,beegfs-tmpfs,4,tmpfs,2,19985.435606055235,19527.565050670266,457.8705553849694
stage_in-sim,0.5,sim,1.0,tmpfs-beegfs,2,beegfs,2,25818.694351092254,24982.095003541344,836.5993475509089
stage_in-sim,0.5,sim,1.0,beegfs-ssd,2,ssd,2,27101.27635486708,22205.9756292732,4895.300725593878
stage_in-sim,0.5,sim,1.0,beegfs-tmpfs,2,tmpfs,2,29497.043848365534,29039.173292980566,457.8705553849694
stage_in-sim,0.5,sim,1.0,ssd-beegfs,4,beegfs,2,81925.39737278607,81088.79802523517,836.5993475509089
stage_in-sim,0.5,sim,1.0,tmpfs-tmpfs,4,tmpfs,2,90809.7574608356,90351.88690545062,457.8705553849694
stage_in-sim,0.5,sim,1.0,ssd-ssd,4,ssd,2,95144.91890630251,90249.61818070864,4895.300725593878
stage_in-sim,0.5,sim,1.0,ssd-beegfs,2,beegfs,2,106155.54110805537,105318.94176050447,836.5993475509089
stage_in-sim,0.5,sim,1.0,tmpfs-tmpfs,2,tmpfs,2,180968.39052414655,180510.5199687616,457.8705553849694
stage_in-sim,0.5,sim,1.0,ssd-ssd,2,ssd,2,185055.34009701444,180160.03937142057,4895.300725593878
stage_in-analysis,0.5,analysis,2.0,tmpfs,1,tmpfs,2,57.23381942242713,0.0,57.23381942242713
stage_in-analysis,0.5,analysis,2.0,tmpfs,2,tmpfs,2,57.23381942242713,0.0,57.23381942242713
stage_in-analysis,0.5,analysis,2.0,tmpfs,4,tmpfs,2,57.23381942242713,0.0,57.23381942242713
stage_in-analysis,0.5,analysis,2.0,tmpfs,8,tmpfs,2,57.23381942242713,0.0,57.23381942242713
stage_in-analysis,0.5,analysis,2.0,tmpfs,16,tmpfs,2,57.23381942242713,0.0,57.23381942242713
stage_in-analysis,0.5,analysis,2.0,tmpfs,32,tmpfs,2,57.23381942242713,0.0,57.23381942242713
stage_in-analysis,0.5,analysis,2.0,tmpfs,33,tmpfs,2,57.23381942242713,0.0,57.23381942242713
stage_in-analysis,0.5,analysis,2.0,tmpfs,60,tmpfs,2,57.23381942242713,0.0,57.23381942242713
stage_in-analysis,0.5,analysis,2.0,beegfs,1,beegfs,2,104.57491844259548,0.0,104.57491844259548
stage_in-analysis,0.5,analysis,2.0,beegfs,2,beegfs,2,104.57491844259548,0.0,104.57491844259548
stage_in-analysis,0.5,analysis,2.0,beegfs,4,beegfs,2,104.57491844259548,0.0,104.57491844259548
stage_in-analysis,0.5,analysis,2.0,beegfs,8,beegfs,2,104.57491844259548,0.0,104.57491844259548
stage_in-analysis,0.5,analysis,2.0,beegfs,16,beegfs,2,104.57491844259548,0.0,104.57491844259548
stage_in-analysis,0.5,analysis,2.0,beegfs,32,beegfs,2,104.57491844259548,0.0,104.57491844259548
stage_in-analysis,0.5,analysis,2.0,beegfs,33,beegfs,2,104.57491844259548,0.0,104.57491844259548
stage_in-analysis,0.5,analysis,2.0,beegfs,60,beegfs,2,104.57491844259548,0.0,104.57491844259548
stage_in-analysis,0.5,analysis,2.0,ssd,1,ssd,2,611.9125906918144,0.0,611.9125906918144
stage_in-analysis,0.5,analysis,2.0,ssd,2,ssd,2,611.9125906918144,0.0,611.9125906918144
stage_in-analysis,0.5,analysis,2.0,ssd,4,ssd,2,611.9125906918144,0.0,611.9125906918144
stage_in-analysis,0.5,analysis,2.0,ssd,8,ssd,2,611.9125906918144,0.0,611.9125906918144
stage_in-analysis,0.5,analysis,2.0,ssd,16,ssd,2,611.9125906918144,0.0,611.9125906918144
stage_in-analysis,0.5,analysis,2.0,ssd,32,ssd,2,611.9125906918144,0.0,611.9125906918144
stage_in-analysis,0.5,analysis,2.0,ssd,33,ssd,2,611.9125906918144,0.0,611.9125906918144
