producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-sim,0.5,sim,1.0,tmpfs,1,tmpfs,2,171.70145826866948,0.0,171.70145826866948
stage_in-sim,0.5,sim,1.0,tmpfs,2,tmpfs,2,171.70145826866948,0.0,171.70145826866948
stage_in-sim,0.5,sim,1.0,tmpfs,4,tmpfs,2,171.70145826866948,0.0,171.70145826866948
stage_in-sim,0.5,sim,1.0,tmpfs,8,tmpfs,2,171.70145826866948,0.0,171.70145826866948
stage_in-sim,0.5,sim,1.0,tmpfs,16,tmpfs,2,171.70145826866948,0.0,171.70145826866948
stage_in-sim,0.5,sim,1.0,tmpfs,32,tmpfs,2,171.70145826866948,0.0,171.70145826866948
stage_in-sim,0.5,sim,1.0,tmpfs,33,tmpfs,2,171.70145826866948,0.0,171.70145826866948
stage_in-sim,0.5,sim,1.0,tmpfs,60,tmpfs,2,171.70145826866948,0.0,171.70145826866948
stage_in-sim,0.5,sim,1.0,beegfs,1,beegfs,2,313.7247553303227,0.0,313.7247553303227
stage_in-sim,0.5,sim,1.0,beegfs,2,beegfs,2,313.7247553303227,0.0,313.7247553303227
stage_in-sim,0.5,sim,1.0,beegfs,4,beegfs,2,313.7247553303227,0.0,313.7247553303227
stage_in-sim,0.5,sim,1.0,beegfs,8,beegfs,2,313.7247553303227,0.0,313.7247553303227
stage_in-sim,0.5,sim,1.0,beegfs,16,beegfs,2,313.7247553303227,0.0,313.7247553303227
stage_in-sim,0.5,sim,1.0,beegfs,32,beegfs,2,313.7247553303227,0.0,313.7247553303227
stage_in-sim,0.5,sim,1.0,beegfs,33,beegfs,2,313.7247553303227,0.0,313.7247553303227
stage_in-sim,0.5,sim,1.0,beegfs,60,beegfs,2,313.7247553303227,0.0,313.7247553303227
stage_in-sim,0.5,sim,1.0,ssd,1,ssd,2,1835.7377720902841,0.0,1835.7377720902841
stage_in-sim,0.5,sim,1.0,ssd,2,ssd,2,1835.7377720902841,0.0,1835.7377720902841
stage_in-sim,0.5,sim,1.0,ssd,4,ssd,2,1835.7377720902841,0.0,1835.7377720902841
stage_in-sim,0.5,sim,1.0,ssd,8,ssd,2,1835.7377720902841,0.0,1835.7377720902841
stage_in-sim,0.5,sim,1.0,ssd,16,ssd,2,1835.7377720902841,0.0,1835.7377720902841
stage_in-sim,0.5,sim,1.0,ssd,32,ssd,2,1835.7377720902841,0.0,1835.7377720902841
stage_in-sim,0.5,sim,1.0,ssd,33,ssd,2,1835.7377720902841,0.0,1835.7377720902841
stage_in-sim,0.5,sim,1.0,ssd,60,ssd,2,1835.7377720902841,0.0,1835.7377720902841
stage_in-sim,0.5,sim,1.0,tmpfs-beegfs,4,beegfs,2,6050.503926989201,5736.779171658879,313.7247553303227
stage_in-sim,0.5,sim,1.0,beegfs-ssd,4,ssd,2,6206.139628390632,4370.401856300348,1835.7377720902841
stage_in-sim,0.5,sim,1.0,beegfs-tmpfs,4,tmpfs,2,7494.538352092416,7322.836893823746,171.70145826866948
stage_in-sim,0.5,sim,1.0,tmpfs-beegfs,2,beegfs,2,9682.010381431115,9368.285626100793,313.7247553303227
stage_in-sim,0.5,sim,1.0,beegfs-ssd,2,ssd,2,10162.978632865772,8327.240860775488,1835.7377720902841
stage_in-sim,0.5,sim,1.0,beegfs-tmpfs,2,tmpfs,2,11061.391442872271,10889.689984603601,171.70145826866948
stage_in-sim,0.5,sim,1.0,ssd-beegfs,4,beegfs,2,30722.024014056005,30408.29925872568,313.7247553303227
stage_in-sim,0.5,sim,1.0,tmpfs-tmpfs,4,tmpfs,2,34053.6590469909,33881.95758872223,171.70145826866948
stage_in-sim,0.5,sim,1.0,ssd-ssd,4,ssd,2,35679.3445890352,33843.60681694492,1835.7377720902841
stage_in-sim,0.5,sim,1.0,ssd-beegfs,2,beegfs,2,39808.327914561625,39494.6031592313,313.7247553303227
stage_in-sim,0.5,sim,1.0,tmpfs-tmpfs,2,tmpfs,2,67863.14644491252,67691.44498664385,171.70145826866948
stage_in-sim,0.5,sim,1.0,ssd-ssd,2,ssd,2,69395.75253473445,67560.01476264416,1835.7377720902841
stage_in-analysis,0.5,analysis,2.0,tmpfs,1,tmpfs,2,21.462682282889634,0.0,21.462682282889634
stage_in-analysis,0.5,analysis,2.0,tmpfs,2,tmpfs,2,21.462682282889634,0.0,21.462682282889634
stage_in-analysis,0.5,analysis,2.0,tmpfs,4,tmpfs,2,21.462682282889634,0.0,21.462682282889634
stage_in-analysis,0.5,analysis,2.0,tmpfs,8,tmpfs,2,21.462682282889634,0.0,21.462682282889634
stage_in-analysis,0.5,analysis,2.0,tmpfs,16,tmpfs,2,21.462682282889634,0.0,21.462682282889634
stage_in-analysis,0.5,analysis,2.0,tmpfs,32,tmpfs,2,21.462682282889634,0.0,21.462682282889634
stage_in-analysis,0.5,analysis,2.0,tmpfs,33,tmpfs,2,21.462682282889634,0.0,21.462682282889634
stage_in-analysis,0.5,analysis,2.0,tmpfs,60,tmpfs,2,21.462682282889634,0.0,21.462682282889634
stage_in-analysis,0.5,analysis,2.0,beegfs,1,beegfs,2,39.215594415022196,0.0,39.215594415022196
stage_in-analysis,0.5,analysis,2.0,beegfs,2,beegfs,2,39.215594415022196,0.0,39.215594415022196
stage_in-analysis,0.5,analysis,2.0,beegfs,4,beegfs,2,39.215594415022196,0.0,39.215594415022196
stage_in-analysis,0.5,analysis,2.0,beegfs,8,beegfs,2,39.215594415022196,0.0,39.215594415022196
stage_in-analysis,0.5,analysis,2.0,beegfs,16,beegfs,2,39.215594415022196,0.0,39.215594415022196
stage_in-analysis,0.5,analysis,2.0,beegfs,32,beegfs,2,39.215594415022196,0.0,39.215594415022196
stage_in-analysis,0.5,analysis,2.0,beegfs,33,beegfs,2,39.215594415022196,0.0,39.215594415022196
stage_in-analysis,0.5,analysis,2.0,beegfs,60,beegfs,2,39.215594415022196,0.0,39.215594415022196
stage_in-analysis,0.5,analysis,2.0,ssd,1,ssd,2,229.4672215038651,0.0,229.4672215038651
stage_in-analysis,0.5,analysis,2.0,ssd,2,ssd,2,229.4672215038651,0.0,229.4672215038651
stage_in-analysis,0.5,analysis,2.0,ssd,4,ssd,2,229.4672215038651,0.0,229.4672215038651
stage_in-analysis,0.5,analysis,2.0,ssd,8,ssd,2,229.4672215038651,0.0,229.4672215038651
stage_in-analysis,0.5,analysis,2.0,ssd,16,ssd,2,229.4672215038651,0.0,229.4672215038651
stage_in-analysis,0.5,analysis,2.0,ssd,32,ssd,2,229.4672215038651,0.0,229.4672215038651
stage_in-analysis,0.5,analysis,2.0,ssd,33,ssd,2,229.4672215038651,0.0,229.4672215038651
