producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-sim,0.5,sim,1.0,tmpfs,1,tmpfs,2,28.61690971051951,0.0,28.61690971051951
stage_in-sim,0.5,sim,1.0,tmpfs,2,tmpfs,2,28.61690971051951,0.0,28.61690971051951
stage_in-sim,0.5,sim,1.0,tmpfs,4,tmpfs,2,28.61690971051951,0.0,28.61690971051951
stage_in-sim,0.5,sim,1.0,tmpfs,8,tmpfs,2,28.61690971051951,0.0,28.61690971051951
stage_in-sim,0.5,sim,1.0,tmpfs,16,tmpfs,2,28.61690971051951,0.0,28.61690971051951
stage_in-sim,0.5,sim,1.0,tmpfs,32,tmpfs,2,28.61690971051951,0.0,28.61690971051951
stage_in-sim,0.5,sim,1.0,tmpfs,33,tmpfs,2,28.61690971051951,0.0,28.61690971051951
stage_in-sim,0.5,sim,1.0,tmpfs,60,tmpfs,2,28.61690971051951,0.0,28.61690971051951
stage_in-sim,0.5,sim,1.0,beegfs,1,beegfs,2,52.2874592200296,0.0,52.2874592200296
stage_in-sim,0.5,sim,1.0,beegfs,2,beegfs,2,52.2874592200296,0.0,52.2874592200296
stage_in-sim,0.5,sim,1.0,beegfs,4,beegfs,2,52.2874592200296,0.0,52.2874592200296
stage_in-sim,0.5,sim,1.0,beegfs,8,beegfs,2,52.2874592200296,0.0,52.2874592200296
stage_in-sim,0.5,sim,1.0,beegfs,16,beegfs,2,52.2874592200296,0.0,52.2874592200296
stage_in-sim,0.5,sim,1.0,beegfs,32,beegfs,2,52.2874592200296,0.0,52.2874592200296
stage_in-sim,0.5,sim,1.0,beegfs,33,beegfs,2,52.2874592200296,0.0,52.2874592200296
stage_in-sim,0.5,sim,1.0,beegfs,60,beegfs,2,52.2874592200296,0.0,52.2874592200296
stage_in-sim,0.5,sim,1.0,ssd,1,ssd,2,305.95629533848677,0.0,305.95629533848677
stage_in-sim,0.5,sim,1.0,ssd,2,ssd,2,305.95629533848677,0.0,305.95629533848677
stage_in-sim,0.5,sim,1.0,ssd,4,ssd,2,305.95629533848677,0.0,305.95629533848677
stage_in-sim,0.5,sim,1.0,ssd,8,ssd,2,305.95629533848677,0.0,305.95629533848677
stage_in-sim,0.5,sim,1.0,ssd,16,ssd,2,305.95629533848677,0.0,305.95629533848677
stage_in-sim,0.5,sim,1.0,ssd,32,ssd,2,305.95629533848677,0.0,305.95629533848677
stage_in-sim,0.5,sim,1.0,ssd,33,ssd,2,305.95629533848677,0.0,305.95629533848677
stage_in-sim,0.5,sim,1.0,ssd,60,ssd,2,305.95629533848677,0.0,305.95629533848677
stage_in-sim,0.5,sim,1.0,tmpfs-beegfs,4,beegfs,2,1008.4173209776626,956.129861757633,52.2874592200296
stage_in-sim,0.5,sim,1.0,beegfs-ssd,4,ssd,2,1034.3566045805499,728.4003092420631,305.95629533848677
stage_in-sim,0.5,sim,1.0,beegfs-tmpfs,4,tmpfs,2,1249.0897251110077,1220.4728154004881,28.61690971051951
stage_in-sim,0.5,sim,1.0,tmpfs-beegfs,2,beegfs,2,1613.668396600547,1561.3809373805175,52.2874592200296
stage_in-sim,0.5,sim,1.0,beegfs-ssd,2,ssd,2,1693.8297718651183,1387.8734765266315,305.95629533848677
stage_in-sim,0.5,sim,1.0,beegfs-tmpfs,2,tmpfs,2,1843.56524012564,1814.9483304151204,28.61690971051951
stage_in-sim,0.5,sim,1.0,ssd-beegfs,4,beegfs,2,5120.337334690979,5068.04987547095,52.2874592200296
stage_in-sim,0.5,sim,1.0,tmpfs-tmpfs,4,tmpfs,2,5675.609840068564,5646.992930358045,28.61690971051951
stage_in-sim,0.5,sim,1.0,ssd-ssd,4,ssd,2,5946.557430401552,5640.601135063065,305.95629533848677
stage_in-sim,0.5,sim,1.0,ssd-beegfs,2,beegfs,2,6634.721317814752,6582.433858594723,52.2874592200296
stage_in-sim,0.5,sim,1.0,tmpfs-tmpfs,2,tmpfs,2,11310.524405295517,11281.907495584997,28.61690971051951
stage_in-sim,0.5,sim,1.0,ssd-ssd,2,ssd,2,11565.958753594452,11260.002458255965,305.95629533848677
stage_in-analysis,0.5,analysis,2.0,tmpfs,1,tmpfs,2,3.7480464004077065,0.0,3.7480464004077065
stage_in-analysis,0.5,analysis,2.0,tmpfs,2,tmpfs,2,3.7480464004077065,0.0,3.7480464004077065
stage_in-analysis,0.5,analysis,2.0,tmpfs,4,tmpfs,2,3.7480464004077065,0.0,3.7480464004077065
stage_in-analysis,0.5,analysis,2.0,tmpfs,8,tmpfs,2,3.7480464004077065,0.0,3.7480464004077065
stage_in-analysis,0.5,analysis,2.0,tmpfs,16,tmpfs,2,3.7480464004077065,0.0,3.7480464004077065
stage_in-analysis,0.5,analysis,2.0,tmpfs,32,tmpfs,2,3.7480464004077065,0.0,3.7480464004077065
stage_in-analysis,0.5,analysis,2.0,tmpfs,33,tmpfs,2,3.7480464004077065,0.0,3.7480464004077065
stage_in-analysis,0.5,analysis,2.0,tmpfs,60,tmpfs,2,3.7480464004077065,0.0,3.7480464004077065
stage_in-analysis,0.5,analysis,2.0,beegfs,1,beegfs,2,6.535932401235562,0.0,6.535932401235562
stage_in-analysis,0.5,analysis,2.0,beegfs,2,beegfs,2,6.535932401235562,0.0,6.535932401235562
stage_in-analysis,0.5,analysis,2.0,beegfs,4,beegfs,2,6.535932401235562,0.0,6.535932401235562
stage_in-analysis,0.5,analysis,2.0,beegfs,8,beegfs,2,6.535932401235562,0.0,6.535932401235562
stage_in-analysis,0.5,analysis,2.0,beegfs,16,beegfs,2,6.535932401235562,0.0,6.535932401235562
stage_in-analysis,0.5,analysis,2.0,beegfs,32,beegfs,2,6.535932401235562,0.0,6.535932401235562
stage_in-analysis,0.5,analysis,2.0,beegfs,33,beegfs,2,6.535932401235562,0.0,6.535932401235562
stage_in-analysis,0.5,analysis,2.0,beegfs,60,beegfs,2,6.535932401235562,0.0,6.535932401235562
stage_in-analysis,0.5,analysis,2.0,ssd,1,ssd,2,38.244536909890435,0.0,38.244536909890435
stage_in-analysis,0.5,analysis,2.0,ssd,2,ssd,2,38.244536909890435,0.0,38.244536909890435
stage_in-analysis,0.5,analysis,2.0,ssd,4,ssd,2,38.244536909890435,0.0,38.244536909890435
stage_in-analysis,0.5,analysis,2.0,ssd,8,ssd,2,38.244536909890435,0.0,38.244536909890435
stage_in-analysis,0.5,analysis,2.0,ssd,16,ssd,2,38.244536909890435,0.0,38.244536909890435
stage_in-analysis,0.5,analysis,2.0,ssd,32,ssd,2,38.244536909890435,0.0,38.244536909890435
stage_in-analysis,0.5,analysis,2.0,ssd,33,ssd,2,38.244536909890435,0.0,38.244536909890435
stage_in-analysis,0.5,analysis,2.0,ssd,60,ssd,2,38.244536909890435,0.0,38.244536909890435
stage_in-analysis,0.5,analysis,2.0,beegfs-ssd,8,ssd,2,1329.7944933600515,1291.549956450161,38.244536909890435
stage_in-analysis,0.5,analysis,2.0,tmpfs-beegfs,8,beegfs,2,1589.143270598127,1582.6073381968913,6.535932401235562
stage_in-analysis,0.5,analysis,2.0,beegfs-tmpfs,8,tmpfs,2,1666.7795345312932,1663.0314881308855,3.7480464004077065
stage_in-analysis,0.5,analysis,2.0,beegfs-ssd,4,ssd,2,2466.2321958046928,2427.9876588948023,38.244536909890435
